"All users (registered customers & guests)","All users (registered customers & guests)"
"Cart Reservation Status","Cart Reservation Status"
"Continue countdown","Continue countdown"
"Hide","Hide"
"Item ""%1"" is reserved. Allowed qty: %2","Item ""%1"" is reserved. Allowed qty: %2"
"Item ""%1"" is reserved.","Item ""%1"" is reserved."
"Item ""%1"" was removed from your cart by expiration of reservation.","Item ""%1"" was removed from your cart by expiration of reservation."
"Keep product(s) in cart","Keep product(s) in cart"
"Global timer for all products in cart","Global timer for all products in cart"
"Global timer for shopping cart & checkout","Global timer for shopping cart & checkout"
"Registered customers only","Registered customers only"
"Remove product(s) from cart","Remove product(s) from cart"
"Reserved qty: %1","Reserved qty: %1"
"Reserved","Reserved"
"Restart countdown","Restart countdown"
"Separate timer for each product in cart","Separate timer for each product in cart"
"Separate timers for shopping cart & checkout","Separate timers for shopping cart & checkout"
"Show","Show"
"year,month,week,day,hour,minute,second","year,month,week,day,hour,minute,second"
"years,months,weeks,days,hours,minutes,seconds","years,months,weeks,days,hours,minutes,seconds"
